Loan_ID,Gender,Married,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Status
LP001003,1,1,4583,1508,128,0
LP001005,1,1,3000,0,66,1
LP001006,1,1,2583,2358,120,1
LP001008,1,0,6000,0,141,1
LP001011,1,1,5417,4196,267,1
LP001013,1,1,2333,1516,95,1
LP001014,1,1,3036,2504,158,0
LP001018,,1,4006,1526,168,1
LP001020,1,1,12841,10968,349,0
LP001024,1,1,3200,700,70,1
LP001027,1,1,2500,1840,109,1
LP001028,1,1,3073,8106,200,1
LP001029,1,0,1853,2840,114,0
LP001030,1,1,1299,1086,17,1
LP001032,1,0,4950,0,125,1
LP001036,0,0,3510,0,76,0
LP001038,1,1,4887,0,133,0
LP001043,1,1,7660,0,104,0
LP001046,1,1,5955,5625,315,1
LP001047,1,1,2600,1911,116,0
LP001050,NA,1,3365,1917,112,0
LP001066,1,1,9560,0,191,1
LP001068,1,1,2799,2253,122,1
LP001073,1,1,4226,1040,110,1
LP001086,1,0,1442,0,35,0
LP001087,0,0,3750,2083,120,1
LP001095,1,0,3167,0,74,0
LP001097,1,0,4692,0,106,0
LP001098,1,1,3500,1667,114,1
LP001100,1,0,,3000,320,0
LP001112,0,1,3667,1459,144,1
LP001114,1,0,4166,7210,184,1
LP001116,1,0,3748,1668,110,1
LP001119,1,0,3600,0,80,0
LP001120,1,0,1800,1213,47,1
LP001131,1,1,3941,2336,134,1
LP001138,1,1,5649,0,44,1
LP001144,1,,5821,0,144,1
LP001146,0,1,2645,3440,120,0
LP001151,0,0,4000,2275,144,1
LP001155,0,1,1928,1644,100,1
LP001157,0,0,3086,0,120,1
LP001164,0,0,4230,0,112,0
LP001179,1,1,4616,0,134,0
LP001186,0,1,11500,0,286,0
LP001194,1,1,2708,1167,97,1
LP001195,1,1,2132,1591,96,1
LP001197,1,1,3366,2200,135,0
LP001198,1,1,8080,2250,180,1
LP001199,1,1,3357,2859,144,1
LP001205,1,1,2500,3796,120,1
LP001206,1,1,3029,0,99,1
LP001207,1,1,2609,3449,165,0
LP001222,0,0,,0,116,0
LP001225,1,1,5726,4595,258,0
LP001228,1,,3200,2254,126,0
LP001233,1,1,10750,0,312,1
LP001238,1,1,7100,0,125,1
LP001241,0,0,4300,0,136,0
LP001243,1,1,3208,3066,172,1
LP001245,1,1,1875,1875,97,1
LP001248,1,0,3500,0,81,1
LP001253,1,1,5266,1774,187,1
LP001255,1,0,3750,0,113,0
LP001256,1,0,3750,4750,176,0
LP001259,1,1,1000,3022,110,0
LP001263,1,1,3167,4000,180,0
LP001265,0,0,3846,0,111,1
LP001267,0,1,1378,1881,167,0
LP001275,1,1,3988,0,50,1
LP001279,1,0,2366,2531,136,1
LP001282,1,1,2500,2118,104,1
LP001289,1,0,8566,0,210,1
LP001310,1,1,5695,4167,175,1
LP001316,1,1,2958,2900,131,1
LP001318,1,1,6250,5654,188,1
LP001319,1,1,3273,1820,81,1
LP001322,1,0,4133,0,122,1
LP001325,1,0,3620,0,25,1
LP001327,0,1,2484,2302,137,1
LP001333,1,1,1977,997,50,1
LP001334,1,1,4188,0,115,1
LP001343,1,1,1759,3541,131,1
LP001345,1,1,4288,3263,133,1
LP001349,1,0,4843,3806,151,1
LP001357,1,NA,3816,754,160,1
LP001367,1,1,3052,1030,100,1
LP001369,1,1,11417,1126,225,1
LP001370,1,0,7333,0,120,0
LP001379,1,1,3800,3600,216,0
LP001384,1,1,2071,754,94,1
LP001385,1,0,5316,0,136,1
LP001387,0,1,2929,2333,139,1
LP001398,1,0,5050,0,118,1
LP001401,1,1,14583,0,185,1
LP001404,0,1,3167,2283,154,1
LP001421,1,1,5568,2142,175,0
LP001422,0,0,10408,0,259,1
LP001426,1,1,5667,2667,180,1
LP001430,0,0,4166,0,44,1
LP001431,0,0,2137,8980,137,1
LP001432,1,1,2957,0,81,1
LP001439,1,1,4300,2014,194,1
LP001448,NA,1,23803,0,370,1
LP001451,1,1,10513,3850,160,0
LP001473,1,0,2014,1929,74,1
LP001478,1,0,2718,0,70,1
LP001482,1,1,3459,0,25,1
LP001487,1,0,4895,0,102,1
LP001488,1,1,4000,7750,290,0
LP001489,0,1,4583,0,84,0
LP001491,1,1,3316,3500,88,1
LP001492,1,0,14999,0,242,0
LP001493,1,1,4200,1430,129,0
LP001497,1,1,5042,2083,185,0
LP001498,1,0,5417,0,168,1
LP001504,1,0,6950,0,175,1
LP001507,1,1,2698,2034,122,1
LP001508,1,1,11757,0,187,1
LP001514,0,1,2330,4486,100,1
LP001516,0,1,14866,0,70,1
LP001518,1,1,1538,1425,30,1
LP001519,0,0,10000,1666,225,0
LP001520,1,1,4860,830,125,1
LP001528,1,0,6277,0,118,0
LP001529,1,1,2577,3750,152,1
LP001531,1,0,9166,0,244,0
LP001532,1,1,2281,0,113,0
LP001535,1,0,3254,0,50,1
LP001536,1,1,39999,0,600,1
LP001543,1,1,9538,0,187,1
LP001546,1,0,2980,2083,120,1
LP001552,1,1,4583,5625,255,1
LP001560,1,1,1863,1041,98,1
LP001562,1,1,7933,0,275,0
LP001565,1,1,3089,1280,121,0
LP001570,1,1,4167,1447,158,1
LP001572,1,1,9323,0,75,1
LP001577,0,1,4583,0,112,0
LP001578,1,1,2439,3333,129,1
LP001579,1,0,2237,0,63,0
LP001580,1,1,8000,0,200,1
LP001581,1,1,1820,1769,95,1
LP001585,NA,1,51763,0,700,1
LP001586,1,1,3522,0,81,0
LP001594,1,1,5708,5625,187,1
LP001603,1,1,4344,736,87,0
LP001606,1,1,3497,1964,116,1
LP001608,1,1,2045,1619,101,1
LP001610,1,1,5516,11300,495,0
LP001616,1,1,3750,0,116,1
LP001630,1,0,2333,1451,102,0
LP001633,1,1,6400,7250,180,0
LP001636,1,1,4600,0,73,1
LP001637,1,1,33846,0,260,0
LP001639,0,1,3625,0,108,1
LP001640,1,1,39147,4750,120,1
LP001641,1,1,2178,0,66,0
LP001644,NA,1,674,5296,168,1
LP001647,1,1,9328,0,188,1
LP001653,1,0,4885,0,48,1
LP001656,1,0,12000,0,164,0
LP001657,1,1,6033,0,160,0
LP001658,1,0,3858,0,76,1
LP001664,1,0,4191,0,120,1
LP001665,1,1,3125,2583,170,0
LP001666,1,0,8333,3750,187,1
LP001673,1,0,11000,0,83,0
LP001674,1,1,2600,2500,90,1
LP001677,1,0,4923,0,166,1
LP001688,1,1,3500,1083,135,1
LP001691,1,1,3917,0,124,1
LP001692,0,0,4408,0,120,1
LP001693,0,0,3244,0,80,1
LP001698,1,0,3975,2531,55,1
LP001699,1,0,2479,0,59,1
LP001702,1,0,3418,0,127,0
LP001708,0,0,10000,0,214,0
LP001711,1,1,3430,1250,128,0
LP001713,1,1,7787,0,240,1
LP001715,1,1,5703,0,130,1
LP001716,1,1,3173,3021,137,1
LP001720,1,1,3850,983,100,1
LP001722,1,1,150,1800,135,0
LP001726,1,1,3727,1775,131,1
LP001732,1,1,5000,0,72,0
LP001736,1,1,2221,0,60,0
LP001743,1,1,4009,1717,116,1
LP001744,1,0,2971,2791,144,1
LP001750,1,1,6250,0,128,1
LP001751,1,1,3250,0,170,0
LP001754,1,1,4735,0,138,0
LP001758,1,1,6250,1695,210,1
LP001760,1,NA,4758,0,158,1
LP001761,1,0,6400,0,200,1
LP001765,1,1,2491,2054,104,1
LP001768,1,1,3716,0,42,1
LP001776,0,0,8333,0,280,1
LP001778,1,1,3155,1779,140,1
LP001784,1,1,5500,1260,170,1
LP001790,0,0,3812,0,112,1
LP001792,1,1,3315,0,96,1
LP001798,1,1,5819,5000,120,1
LP001800,1,1,2510,1983,140,0
LP001806,1,0,2965,5701,155,1
LP001807,1,1,6250,1300,108,1
LP001811,1,1,3406,4417,123,1
LP001813,1,0,6050,4333,120,0
LP001814,1,1,9703,0,112,1
LP001819,1,1,6608,0,137,1
LP001824,1,1,2882,1843,123,1
LP001825,1,1,1809,1868,90,1
LP001835,1,1,1668,3890,201,0
LP001836,0,0,3427,0,138,0
LP001841,1,0,2583,2167,104,1
LP001843,1,1,2661,7101,279,1
LP001844,1,0,16250,0,192,0
LP001846,0,0,3083,0,255,1
LP001849,1,0,6045,0,115,0
LP001854,1,1,5250,0,94,0
LP001859,1,1,14683,2100,304,0
LP001868,1,0,2060,2209,134,1
LP001870,0,0,3481,0,155,0
LP001871,0,0,7200,0,120,1
LP001872,1,0,5166,0,128,1
LP001875,1,0,4095,3447,151,1
LP001877,1,1,4708,1387,150,1
LP001882,1,1,4333,1811,160,1
LP001883,0,0,3418,0,135,0
LP001884,0,0,2876,1560,90,1
LP001888,0,0,3237,0,30,1
LP001891,1,1,11146,0,136,1
LP001892,1,0,2833,1857,126,1
LP001894,1,1,2620,2223,150,1
LP001896,1,1,3900,0,90,1
LP001900,1,1,2750,1842,115,1
LP001903,1,1,3993,3274,207,1
LP001904,1,1,3103,1300,80,1
LP001907,1,1,14583,0,436,1
LP001910,1,0,4053,2426,158,0
LP001914,1,1,3927,800,112,1
LP001915,1,1,2301,985.7999878,78,1
LP001917,0,0,1811,1666,54,1
LP001924,1,0,3158,3053,89,1
LP001925,0,0,2600,1717,99,0
LP001926,1,1,3704,2000,120,1
LP001931,0,0,4124,0,115,1
LP001935,1,0,9508,0,187,1
LP001936,1,1,3075,2416,139,1
LP001938,1,1,4400,0,127,0
LP001940,1,1,3153,1560,134,1
LP001945,0,0,5417,0,143,0
LP001947,1,1,2383,3334,172,1
LP001949,1,1,4416,1250,110,1
LP001953,1,1,6875,0,200,1
LP001954,0,1,4666,0,135,1
LP001955,0,0,5000,2541,151,0
LP001963,1,1,2014,2925,113,0
LP001964,1,1,1800,2934,93,0
LP001972,1,1,2875,1750,105,1
LP001974,0,0,5000,0,132,1
LP001977,1,1,1625,1803,96,1
LP001978,1,0,4000,2500,140,1
LP001993,0,0,3762,1666,135,1
LP001994,0,0,2400,1863,104,0
LP001996,1,0,20233,0,480,0
LP002002,0,0,2917,0,84,1
LP002004,1,0,2927,2405,111,1
LP002006,0,0,2507,0,56,1
LP002024,NA,1,2473,1843,159,0
LP002031,1,1,3399,1640,111,1
LP002035,1,1,3717,0,120,1
LP002050,1,1,10000,0,155,0
LP002051,1,1,2400,2167,115,1
LP002053,1,1,4342,189,124,1
LP002065,1,1,15000,0,300,1
LP002067,1,1,8666,4983,376,0
LP002068,1,0,4917,0,130,1
LP002082,1,1,5818,2160,184,1
LP002086,0,1,4333,2451,110,0
LP002087,,0,2500,0,67,1
LP002097,1,0,4384,1793,117,1
LP002098,1,0,2935,0,98,1
LP002100,1,0,2833,0,71,1
LP002101,1,1,63337,0,490,1
LP002103,NA,1,9833,1833,182,1
LP002110,1,1,5250,688,160,1
LP002112,1,1,2500,4600,176,1
LP002114,0,0,4160,0,71,1
LP002115,1,1,2647,1587,173,0
LP002116,0,0,2378,0,46,0
LP002119,1,1,4554,1229,158,1
LP002126,1,1,3173,0,74,1
LP002128,1,1,2583,2330,125,1
LP002129,1,1,2499,2458,160,1
LP002130,1,1,3523,3230,152,0
LP002131,1,1,3083,2168,126,1
LP002138,1,1,2625,6250,187,1
LP002139,1,1,9083,0,228,1
LP002140,1,0,8750,4167,308,0
LP002141,1,1,2666,2083,95,1
LP002142,0,1,5500,0,105,0
LP002143,0,1,2423,505,130,1
LP002144,0,0,3813,0,116,1
LP002149,1,1,8333,3167,165,1
LP002151,1,1,3875,0,67,0
LP002158,1,1,3000,1666,100,0
LP002160,1,1,5167,3167,200,1
LP002161,0,0,4723,0,81,0
LP002170,1,1,5000,3667,236,1
LP002175,1,1,4750,2333,130,1
LP002180,1,0,6822,0,141,1
LP002181,1,0,6216,0,133,0
LP002187,1,0,2500,0,96,0
LP002190,1,1,6325,0,175,1
LP002191,1,1,19730,5266,570,0
LP002194,0,0,15759,0,55,1
LP002197,1,1,5185,0,155,1
LP002201,1,1,9323,7873,380,1
LP002205,1,0,3062,1987,111,0
LP002209,0,0,2764,1459,110,1
LP002211,1,1,4817,923,120,1
LP002219,1,1,8750,4996,130,1
LP002224,1,0,3069,0,71,0
LP002225,1,1,5391,0,130,1
LP002226,1,1,3333,2500,128,1
LP002229,1,0,5941,4232,296,1
LP002231,0,0,6000,0,156,1
LP002234,1,0,7167,0,128,1
LP002236,1,1,4566,0,100,0
LP002237,1,0,3667,0,113,1
LP002239,1,0,2346,1600,132,1
LP002244,1,1,2333,2417,136,1
LP002250,1,1,5488,0,125,1
LP002255,1,0,9167,0,185,1
LP002262,1,1,9504,0,275,1
LP002265,1,1,1993,1625,113,1
LP002266,1,1,3100,1400,113,1
LP002277,0,0,3180,0,71,0
LP002281,1,1,3033,1459,95,1
LP002284,1,0,3902,1666,109,1
LP002287,0,0,1500,1800,103,0
LP002288,1,1,2889,0,45,0
LP002296,1,0,2755,0,65,0
LP002297,1,0,2500,20000,103,1
LP002300,0,0,1963,0,53,1
LP002301,0,0,7441,0,194,0
LP002305,0,0,4547,0,115,1
LP002308,1,1,2167,2400,115,1
LP002314,0,0,2213,0,66,1
LP002315,1,1,8300,0,152,0
LP002317,1,1,81000,0,360,0
LP002318,0,0,3867,0,62,0
LP002328,1,1,6096,0,218,0
LP002332,1,1,2253,2033,110,1
LP002335,0,1,2149,3237,178,0
LP002337,0,0,2995,0,60,1
LP002341,0,0,2600,0,160,0
LP002342,1,1,1600,20000,239,0
LP002345,1,1,1025,2773,112,1
LP002347,1,1,3246,1417,138,1
LP002348,1,1,5829,0,138,1
LP002361,1,1,1820,1719,100,1
LP002364,1,1,14880,0,96,1
LP002366,1,1,2666,4300,121,1
LP002367,0,0,4606,0,81,0
LP002368,1,1,5935,0,133,1
LP002369,1,1,2920,16.12000084,87,1
LP002370,1,0,2717,0,60,1
LP002377,0,0,8624,0,150,1
LP002379,1,0,6500,0,105,0
LP002386,1,0,12876,0,405,1
LP002387,1,1,2425,2340,143,1
LP002390,1,0,3750,0,100,1
LP002398,1,0,1926,1851,50,1
LP002403,1,0,10416,0,187,0
LP002407,0,1,7142,0,138,1
LP002408,1,0,3660,5064,187,1
LP002409,1,1,7901,1833,180,1
LP002418,1,0,4707,1993,148,1
LP002422,1,0,37719,0,152,1
LP002429,1,1,3466,1210,130,1
LP002434,1,1,4652,0,110,1
LP002435,1,1,3539,1376,55,0
LP002443,1,1,3340,1710,150,0
LP002446,1,1,2309,1255,125,0
LP002448,1,1,3948,1733,149,0
LP002449,1,1,2483,2466,90,1
LP002453,1,0,7085,0,84,1
LP002455,1,1,3859,0,96,1
LP002459,1,1,4301,0,118,1
LP002467,1,1,3708,2569,173,0
LP002472,1,0,4354,0,136,1
LP002473,1,1,8334,0,160,0
LP002484,1,1,7740,0,128,1
LP002487,1,1,3015,2188,153,1
LP002489,0,0,5191,0,132,1
LP002493,1,0,4166,0,98,0
LP002494,1,0,6000,0,140,1
LP002500,1,1,2947,1664,70,0
LP002501,NA,1,16692,0,110,1
LP002502,0,1,210,2917,98,1
LP002505,1,1,4333,2451,110,0
LP002515,1,1,3450,2079,162,1
LP002517,1,1,2653,1500,113,0
LP002519,1,1,4691,0,100,1
LP002524,1,0,5532,4648,162,1
LP002527,1,1,16525,1014,150,1
LP002529,1,1,6700,1750,230,1
LP002530,NA,1,2873,1872,132,0
LP002531,1,1,16667,2250,86,1
LP002534,0,0,4350,0,154,1
LP002536,1,1,3095,0,113,1
LP002537,1,1,2083,3150,128,1
LP002541,1,1,10833,0,234,1
LP002543,1,1,8333,0,246,1
LP002544,1,1,1958,2436,131,1
LP002545,1,0,3547,0,80,0
LP002547,1,1,18333,0,500,0
LP002555,1,1,4583,2083,160,1
LP002556,1,0,2435,0,75,0
LP002571,1,0,3691,0,110,1
LP002582,0,0,17263,0,225,1
LP002585,1,1,3597,2157,119,0
LP002586,0,1,3326,913,105,1
LP002587,1,1,2600,1700,107,1
LP002600,1,1,2895,0,95,1
LP002602,1,0,6283,4416,209,0
LP002603,0,0,645,3683,113,1
LP002606,0,0,3159,0,100,1
LP002615,1,1,4865,5624,208,1
LP002619,1,1,3814,1483,124,1
LP002622,1,1,3510,4416,243,1
LP002625,NA,0,3583,0,96,0
LP002626,1,1,2479,3013,188,1
LP002634,0,0,13262,0,40,1
LP002637,1,0,3598,1287,100,0
LP002640,1,1,6065,2004,250,1
LP002643,1,1,3283,2035,148,1
LP002648,1,1,2130,6666,70,0
LP002652,1,0,5815,3666,311,0
LP002659,1,1,3466,3428,150,1
LP002670,0,1,2031,1632,113,1
LP002682,1,1,3074,1800,123,0
LP002683,1,0,4683,1915,185,0
LP002684,0,0,3400,0,95,0
LP002689,1,1,2192,1742,45,1
LP002690,1,0,2500,0,55,1
LP002692,1,1,5677,1424,100,1
LP002693,1,1,7948,7166,480,1
LP002699,1,1,17500,0,400,1
LP002705,1,1,3775,0,110,1
LP002706,1,1,5285,1430,161,1
LP002714,1,0,2679,1302,94,1
LP002716,1,0,6783,0,130,1
LP002720,1,1,4281,0,100,1
LP002723,1,0,3588,0,110,0
LP002731,0,0,18165,0,125,1
LP002732,1,0,2550,2042,126,1
LP002734,1,1,6133,3906,324,1
LP002738,1,0,3617,0,107,1
LP002739,1,1,2917,536,66,0
LP002740,1,1,6417,0,157,1
LP002741,0,1,4608,2845,140,1
LP002743,0,0,2138,0,99,0
LP002753,0,0,3652,0,95,1
LP002755,1,1,2239,2524,128,1
LP002767,1,1,2768,1950,155,1
LP002768,1,0,3358,0,80,0
LP002772,1,0,2526,1783,145,1
LP002776,0,0,5000,0,103,0
LP002777,1,1,2785,2016,110,1
LP002785,1,1,3333,3250,158,1
LP002788,1,1,2454,2333,181,0
LP002789,1,1,3593,4266,132,0
LP002792,1,1,5468,1032,26,1
LP002795,1,1,10139,0,260,1
LP002798,1,1,3887,2669,162,1
LP002804,0,1,4180,2306,182,1
LP002807,1,1,3675,242,108,1
LP002813,0,1,19484,0,600,1
LP002820,1,1,5923,2054,211,1
LP002821,1,0,5800,0,132,1
LP002832,1,1,8799,0,258,0
LP002836,1,0,3333,0,70,1
LP002837,1,1,3400,2500,123,0
LP002840,0,0,2378,0,9,0
LP002841,1,1,3166,2064,104,0
LP002842,1,1,3417,1750,186,1
LP002847,1,1,5116,1451,165,0
LP002855,1,1,16666,0,275,1
LP002862,1,1,6125,1625,187,0
LP002863,1,1,6406,0,150,0
LP002868,1,1,3159,461,108,1
LP002872,NA,1,3087,2210,136,0
LP002874,1,0,3229,2739,110,1
LP002877,1,1,1782,2232,107,1
LP002888,1,0,3182,2917,161,1
LP002892,1,1,6540,0,205,1
LP002893,1,0,1836,33837,90,0
LP002894,0,1,3166,0,36,1
LP002911,1,1,2787,1917,146,0
LP002912,1,1,4283,3000,172,0
LP002916,1,1,2297,1522,104,1
LP002917,0,0,2165,0,70,1
LP002925,NA,0,4750,0,94,1
LP002926,1,1,2726,0,106,0
LP002928,1,1,3000,3416,56,1
LP002931,1,1,6000,0,205,0
LP002933,NA,0,9357,0,292,1
LP002936,1,1,3859,3300,142,1
LP002938,1,1,16120,0,260,1
LP002940,1,0,3833,0,110,1
LP002941,1,1,6383,1000,187,0
LP002943,1,0,2987,0,88,0
LP002945,1,1,9963,0,180,1
LP002948,1,1,5780,0,192,1
LP002950,1,1,2894,2792,155,1
LP002953,1,1,5703,0,128,1
LP002958,1,0,3676,4301,172,1
LP002959,0,1,12000,0,496,1
LP002961,1,1,3400,2500,173,1
LP002964,1,1,3987,1411,157,1
LP002974,1,1,3232,1950,108,1
LP002978,0,0,2900,0,71,1
LP002979,1,1,4106,0,40,1
LP002983,1,1,8072,240,253,1
LP002984,1,1,7583,0,187,1
LP002990,0,0,4583,0,133,0
